+-----------+------------+------------+--------------------+
| Iteration | Throughput |  Optimum   |      Runtime       |
+-----------+------------+------------+--------------------+
|     0     | 687.909026 | 687.909026 | 119.47377467155457 |
|     1     | 696.669636 | 696.669636 | 84.06879949569702  |
|     2     | 703.215431 | 703.215431 | 86.41210889816284  |
|     3     | 688.889726 | 703.215431 | 192.38686752319336 |
|     4     | 691.612918 | 703.215431 | 155.23371529579163 |
|     5     | 692.680719 | 703.215431 |  85.3975682258606  |
|     6     | 691.757022 | 703.215431 | 111.1582133769989  |
|     7     | 683.402923 | 703.215431 | 74.65182423591614  |
|     8     | 688.171154 | 703.215431 | 202.0726454257965  |
|     9     | 693.200731 | 703.215431 | 204.55744409561157 |
|     10    | 682.333385 | 703.215431 | 103.63067078590393 |
|     11    | 681.821893 | 703.215431 | 73.05115413665771  |
|     12    | 693.098086 | 703.215431 | 72.32599353790283  |
|     13    | 687.781006 | 703.215431 | 129.86816596984863 |
|     14    | 698.969809 | 703.215431 | 80.06110668182373  |
|     15    | 682.092437 | 703.215431 |  178.335547208786  |
|     16    | 694.484418 | 703.215431 | 200.01846742630005 |
|     17    | 689.680043 | 703.215431 | 196.93439316749573 |
|     18    | 691.175282 | 703.215431 | 98.97023558616638  |
|     19    | 716.946253 | 716.946253 | 202.48931455612183 |
|     20    | 697.318932 | 716.946253 | 198.6110029220581  |
|     21    | 693.090831 | 716.946253 | 190.6551637649536  |
|     22    | 713.264032 | 716.946253 | 93.78959274291992  |
|     23    | 688.525469 | 716.946253 | 119.62641739845276 |
|     24    | 703.036456 | 716.946253 | 144.70190000534058 |
|     25    | 692.572984 | 716.946253 | 113.8491280078888  |
|     26    | 687.263154 | 716.946253 | 89.25382614135742  |
|     27    | 696.456814 | 716.946253 | 174.55830931663513 |
|     28    | 697.858544 | 716.946253 | 90.09984922409058  |
|     29    | 121.330364 | 716.946253 | 202.87888479232788 |
|     30    | 128.392427 | 716.946253 |  86.6833291053772  |
|     31    | 135.969904 | 716.946253 | 81.96626949310303  |
|     32    | 128.027176 | 716.946253 | 71.71647572517395  |
|     33    | 145.421662 | 716.946253 | 89.94855117797852  |
|     34    | 135.030148 | 716.946253 | 85.72556447982788  |
|     35    | 130.001493 | 716.946253 |  79.9770565032959  |
|     36    | 165.925574 | 716.946253 | 110.19762659072876 |
+-----------+------------+------------+--------------------+
